Squadra,Data,Giorno_settimana,Ora,Casa,Campo,Ospite,Località,Settimana,Anno
ASD Zeronove,2026-04-16,Thursday,21.00,ASD ZERONOVE,PALESTRA SCUOLA MEDIA LEOPARDI,POL. SAN GIORGIO,SEGRATE - VIA SAN ROCCO,16,2026
Polisportiva Carugate,2026-04-16,Thursday,21.15,A.S.D. POL. GS RODANO,PALAZZETTO COMUNALE C/O SM,POLISPORTIVA CARUGATE,RODANO - VIA TURATI (LARGO 11 SETTEMBRE 2001),16,2026
Avis Cernusco,2026-04-17,Friday,21.00,REDSTAMP VOLLEY VALLE DEL LAMBRO,PALESTRA SCUOLA ELEMENTARE,AVIS CERNUSCO BIANCA,CORREZZANA - VIA A. DE GASPERI,16,2026
Avis Cernusco,2026-04-23,Thursday,21.15,AVIS CERNUSCO BIANCA,NUOVO PALASPORT COMUNALE - SUSSIDIARIA,UNION VOLLEY MARIANO,CERNUSCO SUL NAVIGLIO - VIA BUONARROTI,17,2026
Polisportiva Carugate,2026-04-24,Friday,21.15,POLISPORTIVA CARUGATE,SCUOLA ELEMENTARE NUOVA,SSD SRL POL. SAN GIULIANO,CARUGATE - VIA DEL GINESTRINO,17,2026
ASD Zeronove,2026-04-24,Friday,21.15,GONZAGA YOUNG,CENTRO SPORTIVO CRESPI,ASD ZERONOVE,MILANO - VIA VALVASSORI PERONI,17,2026
ASD Zeronove,2026-04-28,Tuesday,21.00,ASD ZERONOVE,PALESTRA SCUOLA MEDIA LEOPARDI,CITTA DI OPERA,SEGRATE - VIA SAN ROCCO,18,2026
Polisportiva Carugate,2026-04-29,Wednesday,21.15,ASD ASS. GENITORI SCUOLE,SCUOLA MEDIA GRAMSCI,POLISPORTIVA CARUGATE,MILANO - VIA FRANCO TOSI,18,2026
Polisportiva Carugate,2026-05-05,Tuesday,21.00,ASD ZERONOVE,PALESTRA SCUOLA MEDIA LEOPARDI,POLISPORTIVA CARUGATE,SEGRATE - VIA SAN ROCCO,19,2026
ASD Zeronove,2026-05-05,Tuesday,21.00,ASD ZERONOVE,PALESTRA SCUOLA MEDIA LEOPARDI,POLISPORTIVA CARUGATE,SEGRATE - VIA SAN ROCCO,19,2026
Avis Cernusco,2026-05-07,Thursday,21.15,AVIS CERNUSCO BIANCA,NUOVO PALASPORT COMUNALE - SUSSIDIARIA,GEAS VOLLEY ASD,CERNUSCO SUL NAVIGLIO - VIA BUONARROTI,19,2026
Polisportiva Carugate,2026-05-08,Friday,21.15,POLISPORTIVA CARUGATE,SCUOLA ELEMENTARE NUOVA,ASD PGS ARDOR,CARUGATE - VIA DEL GINESTRINO,19,2026
ASD Zeronove,2026-05-08,Friday,21.15,PIZZAUT PALLAVOLO CASSINA ROSSA,SCUOLA ELEMENTARE TRENTO,ASD ZERONOVE,CASSINA DE PECCHI - VIA TRENTO,19,2026
